age,sex,type,name,affiliates,contributors,oldage_num,oldage_ben,disa_num,disa_ben,survivor_num,survivor_ben
13,2,DB,Transicion,0,0,0,0,0,0,0,0
14,2,DB,Transicion,0,0,0,0,0,0,0,0
15,2,DB,Transicion,0,0,0,0,0,0,0,0
16,2,DB,Transicion,0,0,0,0,0,0,2,"4,132"
17,2,DB,Transicion,0,0,0,0,0,0,0,0
18,2,DB,Transicion,0,0,0,0,0,0,0,0
19,2,DB,Transicion,0,0,0,0,0,0,1,"8,271"
20,2,DB,Transicion,0,0,0,0,0,0,4,"4,059"
21,2,DB,Transicion,"7,983","3,672",3,"8,399",3,"3,425",5,"5,369"
22,2,DB,Transicion,"7,441","3,348",0,0,0,0,8,"22,694"
23,2,DB,Transicion,"6,646","2,924",0,0,0,0,7,"6,264"
24,2,DB,Transicion,"6,091","2,619",0,0,0,0,16,"10,833"
25,2,DB,Transicion,"6,356","2,797",0,0,0,0,15,"7,248"
26,2,DB,Transicion,"6,760","2,974",0,0,0,0,27,"14,207"
27,2,DB,Transicion,"6,730","2,961",0,0,3,"8,559",37,"5,035"
28,2,DB,Transicion,"6,856","2,948",0,0,0,0,81,"7,812"
29,2,DB,Transicion,"6,633","2,852",0,0,0,0,89,"9,188"
30,2,DB,Transicion,"6,603","2,839",0,0,0,0,133,"6,986"
31,2,DB,Transicion,"6,894","2,827",0,0,1,"3,113",187,"6,173"
32,2,DB,Transicion,"6,582","2,765",0,0,0,0,293,"6,347"
33,2,DB,Transicion,"6,756","2,702",0,0,0,0,343,"5,691"
34,2,DB,Transicion,"6,517","2,607",0,0,3,"7,886",465,"5,283"
35,2,DB,Transicion,"6,527","2,546",0,0,8,"7,164",537,"5,724"
36,2,DB,Transicion,"7,098","2,484",0,0,18,"7,601",775,"5,952"
37,2,DB,Transicion,"6,950","2,433",0,0,7,"8,350","1,056","6,164"
38,2,DB,Transicion,"6,803","2,381",0,0,31,"9,006","1,382","5,758"
39,2,DB,Transicion,"6,884","2,341",1,"4,277",19,"12,921","1,960","5,603"
40,2,DB,Transicion,"7,152","2,289",0,0,62,"8,375","2,242","5,858"
41,2,DB,Transicion,"6,778","2,237",0,0,99,"7,617","2,996","5,939"
42,2,DB,Transicion,"6,591","2,175",0,0,198,"10,472","3,657","5,977"
43,2,DB,Transicion,"8,479","2,968",0,0,255,"9,392","4,398","6,032"
44,2,DB,Transicion,"17,215","6,025",0,0,310,"8,886","5,112","6,164"
45,2,DB,Transicion,"5,832","1,983",0,0,449,"7,791","5,954","6,260"
46,2,DB,Transicion,"11,865","4,153",0,0,517,"8,066","6,564","6,416"
47,2,DB,Transicion,"20,077","7,027",0,0,632,"7,921","7,593","6,652"
48,2,DB,Transicion,"64,089","23,713",0,0,680,"7,663","8,723","7,026"
49,2,DB,Transicion,"108,408","40,111",0,0,682,"7,509","9,105","7,021"
50,2,DB,Transicion,"185,252","66,691",0,0,721,"7,884","9,888","7,015"
51,2,DB,Transicion,"212,182","78,507",0,0,699,"7,500","10,510","7,422"
52,2,DB,Transicion,"232,169","85,902",1,"4,453",831,"8,148","11,799","7,513"
53,2,DB,Transicion,"290,789","101,776",4,"6,124",849,"7,203","12,296","7,451"
54,2,DB,Transicion,"283,093","107,575",0,0,827,"8,179","13,383","7,794"
