age,sex,type,name,affiliates,contributors,iacc,oldage_num,oldage_ben,disa_num,disa_ben,survivor_num,survivor_ben
26,2,DC,Afores,"669,251","294,471","32,418",0,0,8,"5,466",107,"5,338"
27,2,DC,Afores,"666,305","293,174","37,404",0,0,10,"5,983",135,"5,106"
28,2,DC,Afores,"678,785","291,878","44,071",0,0,11,"6,339",150,"5,171"
29,2,DC,Afores,"656,632","282,352","49,877",0,0,13,"6,596",201,"5,290"
30,2,DC,Afores,"653,703","281,092","57,729",0,0,15,"7,015",232,"5,229"
31,2,DC,Afores,"682,518","279,832","61,210",0,0,18,"8,732",260,"5,395"
32,2,DC,Afores,"651,642","273,690","71,556",0,0,19,"7,302",315,"5,313"
33,2,DC,Afores,"668,868","267,547","77,632",0,0,19,"7,761",344,"5,048"
34,2,DC,Afores,"645,179","258,072","81,870",0,0,21,"8,029",384,"5,483"
35,2,DC,Afores,"646,173","252,007","87,459",0,0,29,"7,649",419,"5,351"
36,2,DC,Afores,"702,694","245,943","87,633",0,0,28,"8,125",425,"5,558"
37,2,DC,Afores,"688,071","240,825","97,689",0,0,40,"8,755",481,"5,471"
38,2,DC,Afores,"673,448","235,707","94,754",0,0,38,"8,637",507,"5,337"
39,2,DC,Afores,"681,508","231,713","102,452",0,0,44,"8,763",507,"5,473"
40,2,DC,Afores,"708,031","226,570","102,277",0,0,37,"9,471",485,"5,530"
41,2,DC,Afores,"670,990","221,427","108,017",0,0,38,"8,148",497,"5,412"
42,2,DC,Afores,"652,549","215,341","109,674",0,0,38,"8,637",487,"5,688"
43,2,DC,Afores,"595,434","208,402","117,912",0,0,36,"8,912",500,"5,440"
44,2,DC,Afores,"566,837","198,393","133,346",0,0,33,"6,695",502,"5,574"
45,2,DC,Afores,"577,389","196,312","136,126",0,0,37,"7,543",471,"5,510"
46,2,DC,Afores,"537,199","188,020","142,806",0,0,34,"6,637",496,"5,510"
47,2,DC,Afores,"512,748","179,462","151,205",0,0,39,"8,123",521,"5,648"
48,2,DC,Afores,"424,574","157,092","162,242",0,0,36,"6,567",498,"5,635"
49,2,DC,Afores,"374,210","138,458","170,094",0,0,39,"6,427",496,"5,596"
50,2,DC,Afores,"294,674","106,082","180,579",0,0,31,"7,699",496,"5,444"
51,2,DC,Afores,"239,110","88,471","170,597",0,0,32,"7,337",493,"5,519"
52,2,DC,Afores,"189,956","70,284","187,295",0,0,40,"7,544",501,"5,542"
53,2,DC,Afores,"124,624","43,618","190,309",0,0,34,"5,682",466,"5,614"
54,2,DC,Afores,"70,773","26,894","197,172",0,0,33,"7,075",481,"5,540"
55,2,DC,Afores,"34,358","12,369","205,009",0,0,35,"6,531",456,"5,482"
