age,variable,sex,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050,y2051,y2052,y2053,y2054,y2055,y2056,y2057,y2058,y2059,y2060,y2061,y2062,y2063,y2064,y2065,y2066,y2067,y2068,y2069,y2070,y2071,y2072,y2073,y2074,y2075,y2076,y2077,y2078,y2079,y2080,y2081,y2082,y2083,y2084,y2085,y2086,y2087,y2088,y2089,y2090,y2091,y2092,y2093,y2094,y2095,y2096,y2097,y2098,y2099,y2100,y2101,y2102,y2103,
20,mort_rate,female,0.00016498000000,0.00016498000000,0.00016267000000,0.00016013000000,0.00015775000000,0.00015540000000,0.00015310000000,0.00015050000000,0.00014794000000,0.00014544000000,0.00014299000000,0.00014049000000,0.00013807000000,0.00013580000000,0.00013343000000,0.00013118000000,0.00012888000000,0.00012670000000,0.00012449000000,0.00012229000000,0.00012013000000,0.00011805000000,0.00011602000000,0.00011420000000,0.00011220000000,0.00011029000000,0.00010840000000,0.00010652000000,0.00010455000000,0.00010271000000,0.00010098000000,0.00009912000000,0.00009731000000,0.00009573000000,0.00009427000000,0.00009285000000,0.00009142000000,0.00008996000000,0.00008847000000,0.00008707000000,0.00008562000000,0.00008417000000,0.00008275000000,0.00008144000000,0.00008009000000,0.00007865000000,0.00007733000000,0.00007599000000,0.00007465000000,0.00007332000000,0.00007209000000,0.00007092000000,0.00006975000000,0.00006847000000,0.00006724000000,0.00006609000000,0.00006495000000,0.00006390000000,0.00006278000000,0.00006163000000,0.00006060000000,0.00005948000000,0.00005836000000,0.00005730000000,0.00005615000000,0.00005520000000,0.00005417000000,0.00005315000000,0.00005214000000,0.00005122000000,0.00005028000000,0.00004922000000,0.00004830000000,0.00004727000000,0.00004649000000,0.00004571000000,0.00004488000000,0.00004488000000,0.00004488000000,0.00004488000000,
21,mort_rate,female,0.00017495000000,0.00017495000000,0.00017257000000,0.00016996000000,0.00016751000000,0.00016508000000,0.00016270000000,0.00015998000000,0.00015730000000,0.00015468000000,0.00015211000000,0.00014949000000,0.00014696000000,0.00014458000000,0.00014209000000,0.00013973000000,0.00013730000000,0.00013502000000,0.00013270000000,0.00013038000000,0.00012811000000,0.00012592000000,0.00012378000000,0.00012186000000,0.00011975000000,0.00011773000000,0.00011574000000,0.00011376000000,0.00011169000000,0.00010974000000,0.00010792000000,0.00010595000000,0.00010403000000,0.00010236000000,0.00010082000000,0.00009932000000,0.00009780000000,0.00009626000000,0.00009468000000,0.00009320000000,0.00009166000000,0.00009012000000,0.00008861000000,0.00008723000000,0.00008579000000,0.00008427000000,0.00008287000000,0.00008144000000,0.00008002000000,0.00007861000000,0.00007730000000,0.00007605000000,0.00007481000000,0.00007345000000,0.00007214000000,0.00007092000000,0.00006971000000,0.00006858000000,0.00006739000000,0.00006616000000,0.00006506000000,0.00006386000000,0.00006267000000,0.00006154000000,0.00006032000000,0.00005931000000,0.00005820000000,0.00005712000000,0.00005604000000,0.00005505000000,0.00005405000000,0.00005291000000,0.00005194000000,0.00005083000000,0.00005000000000,0.00004917000000,0.00004828000000,0.00004828000000,0.00004828000000,0.00004828000000,
22,mort_rate,female,0.00018504000000,0.00018504000000,0.00018259000000,0.00017991000000,0.00017739000000,0.00017488000000,0.00017243000000,0.00016959000000,0.00016678000000,0.00016404000000,0.00016135000000,0.00015861000000,0.00015595000000,0.00015346000000,0.00015085000000,0.00014837000000,0.00014583000000,0.00014343000000,0.00014099000000,0.00013856000000,0.00013617000000,0.00013387000000,0.00013161000000,0.00012960000000,0.00012738000000,0.00012525000000,0.00012316000000,0.00012107000000,0.00011889000000,0.00011683000000,0.00011491000000,0.00011284000000,0.00011082000000,0.00010905000000,0.00010742000000,0.00010584000000,0.00010423000000,0.00010260000000,0.00010093000000,0.00009936000000,0.00009774000000,0.00009611000000,0.00009451000000,0.00009305000000,0.00009153000000,0.00008991000000,0.00008843000000,0.00008692000000,0.00008541000000,0.00008392000000,0.00008253000000,0.00008121000000,0.00007989000000,0.00007845000000,0.00007706000000,0.00007576000000,0.00007447000000,0.00007328000000,0.00007201000000,0.00007070000000,0.00006954000000,0.00006826000000,0.00006699000000,0.00006579000000,0.00006449000000,0.00006341000000,0.00006223000000,0.00006108000000,0.00005993000000,0.00005888000000,0.00005781000000,0.00005661000000,0.00005557000000,0.00005440000000,0.00005351000000,0.00005262000000,0.00005167000000,0.00005167000000,0.00005167000000,0.00005167000000,
23,mort_rate,female,0.00019354000000,0.00019354000000,0.00019106000000,0.00018834000000,0.00018579000000,0.00018324000000,0.00018073000000,0.00017781000000,0.00017492000000,0.00017208000000,0.00016930000000,0.00016647000000,0.00016373000000,0.00016114000000,0.00015844000000,0.00015587000000,0.00015324000000,0.00015076000000,0.00014823000000,0.00014571000000,0.00014323000000,0.00014084000000,0.00013850000000,0.00013640000000,0.00013410000000,0.00013189000000,0.00012971000000,0.00012753000000,0.00012527000000,0.00012313000000,0.00012113000000,0.00011897000000,0.00011686000000,0.00011502000000,0.00011332000000,0.00011167000000,0.00010999000000,0.00010829000000,0.00010655000000,0.00010491000000,0.00010321000000,0.00010150000000,0.00009984000000,0.00009830000000,0.00009671000000,0.00009502000000,0.00009347000000,0.00009189000000,0.00009031000000,0.00008875000000,0.00008729000000,0.00008590000000,0.00008452000000,0.00008301000000,0.00008155000000,0.00008018000000,0.00007883000000,0.00007758000000,0.00007624000000,0.00007487000000,0.00007364000000,0.00007230000000,0.00007097000000,0.00006970000000,0.00006834000000,0.00006720000000,0.00006596000000,0.00006474000000,0.00006354000000,0.00006243000000,0.00006130000000,0.00006003000000,0.00005893000000,0.00005770000000,0.00005676000000,0.00005582000000,0.00005483000000,0.00005483000000,0.00005483000000,0.00005483000000,
24,mort_rate,female,0.00020655000000,0.00020655000000,0.00020396000000,0.00020113000000,0.00019847000000,0.00019580000000,0.00019318000000,0.00019008000000,0.00018701000000,0.00018400000000,0.00018106000000,0.00017805000000,0.00017514000000,0.00017239000000,0.00016952000000,0.00016679000000,0.00016399000000,0.00016135000000,0.00015867000000,0.00015598000000,0.00015334000000,0.00015080000000,0.00014830000000,0.00014607000000,0.00014362000000,0.00014126000000,0.00013894000000,0.00013661000000,0.00013420000000,0.00013192000000,0.00012978000000,0.00012748000000,0.00012523000000,0.00012327000000,0.00012145000000,0.00011969000000,0.00011789000000,0.00011606000000,0.00011420000000,0.00011245000000,0.00011064000000,0.00010881000000,0.00010703000000,0.00010539000000,0.00010368000000,0.00010188000000,0.00010021000000,0.00009852000000,0.00009684000000,0.00009516000000,0.00009360000000,0.00009211000000,0.00009063000000,0.00008902000000,0.00008745000000,0.00008599000000,0.00008454000000,0.00008319000000,0.00008176000000,0.00008029000000,0.00007897000000,0.00007753000000,0.00007610000000,0.00007474000000,0.00007328000000,0.00007206000000,0.00007072000000,0.00006942000000,0.00006813000000,0.00006693000000,0.00006572000000,0.00006437000000,0.00006319000000,0.00006187000000,0.00006086000000,0.00005985000000,0.00005878000000,0.00005878000000,0.00005878000000,0.00005878000000,
25,mort_rate,female,0.00022847000000,0.00022847000000,0.00022563000000,0.00022253000000,0.00021962000000,0.00021669000000,0.00021380000000,0.00021036000000,0.00020695000000,0.00020360000000,0.00020034000000,0.00019699000000,0.00019376000000,0.00019069000000,0.00018751000000,0.00018447000000,0.00018137000000,0.00017842000000,0.00017544000000,0.00017245000000,0.00016952000000,0.00016669000000,0.00016391000000,0.00016142000000,0.00015870000000,0.00015607000000,0.00015349000000,0.00015091000000,0.00014823000000,0.00014569000000,0.00014331000000,0.00014075000000,0.00013825000000,0.00013607000000,0.00013404000000,0.00013208000000,0.00013007000000,0.00012803000000,0.00012596000000,0.00012400000000,0.00012199000000,0.00011995000000,0.00011798000000,0.00011614000000,0.00011425000000,0.00011224000000,0.00011039000000,0.00010852000000,0.00010664000000,0.00010479000000,0.00010305000000,0.00010139000000,0.00009975000000,0.00009796000000,0.00009622000000,0.00009460000000,0.00009297000000,0.00009147000000,0.00008987000000,0.00008824000000,0.00008677000000,0.00008516000000,0.00008359000000,0.00008207000000,0.00008046000000,0.00007910000000,0.00007761000000,0.00007616000000,0.00007474000000,0.00007342000000,0.00007207000000,0.00007058000000,0.00006927000000,0.00006783000000,0.00006670000000,0.00006557000000,0.00006439000000,0.00006439000000,0.00006439000000,0.00006439000000,
26,mort_rate,female,0.00025059000000,0.00025059000000,0.00024748000000,0.00024409000000,0.00024091000000,0.00023770000000,0.00023453000000,0.00023075000000,0.00022699000000,0.00022330000000,0.00021971000000,0.00021603000000,0.00021248000000,0.00020909000000,0.00020558000000,0.00020224000000,0.00019882000000,0.00019557000000,0.00019229000000,0.00018900000000,0.00018576000000,0.00018266000000,0.00017959000000,0.00017683000000,0.00017384000000,0.00017094000000,0.00016811000000,0.00016525000000,0.00016232000000,0.00015951000000,0.00015688000000,0.00015408000000,0.00015132000000,0.00014893000000,0.00014667000000,0.00014451000000,0.00014229000000,0.00014004000000,0.00013777000000,0.00013560000000,0.00013339000000,0.00013113000000,0.00012897000000,0.00012694000000,0.00012484000000,0.00012265000000,0.00012060000000,0.00011855000000,0.00011648000000,0.00011445000000,0.00011253000000,0.00011071000000,0.00010889000000,0.00010694000000,0.00010501000000,0.00010323000000,0.00010144000000,0.00009977000000,0.00009801000000,0.00009622000000,0.00009460000000,0.00009283000000,0.00009110000000,0.00008943000000,0.00008766000000,0.00008617000000,0.00008453000000,0.00008293000000,0.00008138000000,0.00007992000000,0.00007844000000,0.00007681000000,0.00007537000000,0.00007380000000,0.00007256000000,0.00007131000000,0.00007002000000,0.00007002000000,0.00007002000000,0.00007002000000,
27,mort_rate,female,0.00027149000000,0.00027149000000,0.00026814000000,0.00026450000000,0.00026109000000,0.00025762000000,0.00025420000000,0.00025012000000,0.00024605000000,0.00024205000000,0.00023816000000,0.00023417000000,0.00023032000000,0.00022665000000,0.00022285000000,0.00021922000000,0.00021551000000,0.00021199000000,0.00020843000000,0.00020487000000,0.00020135000000,0.00019798000000,0.00019465000000,0.00019165000000,0.00018841000000,0.00018526000000,0.00018219000000,0.00017909000000,0.00017591000000,0.00017286000000,0.00017000000000,0.00016696000000,0.00016397000000,0.00016137000000,0.00015891000000,0.00015657000000,0.00015415000000,0.00015170000000,0.00014923000000,0.00014687000000,0.00014447000000,0.00014202000000,0.00013967000000,0.00013746000000,0.00013518000000,0.00013280000000,0.00013057000000,0.00012835000000,0.00012609000000,0.00012390000000,0.00012182000000,0.00011983000000,0.00011785000000,0.00011574000000,0.00011363000000,0.00011170000000,0.00010975000000,0.00010794000000,0.00010601000000,0.00010408000000,0.00010231000000,0.00010038000000,0.00009851000000,0.00009669000000,0.00009478000000,0.00009315000000,0.00009136000000,0.00008962000000,0.00008795000000,0.00008636000000,0.00008475000000,0.00008299000000,0.00008143000000,0.00007973000000,0.00007838000000,0.00007702000000,0.00007562000000,0.00007562000000,0.00007562000000,0.00007562000000,
28,mort_rate,female,0.00029135000000,0.00029135000000,0.00028779000000,0.00028393000000,0.00028031000000,0.00027663000000,0.00027299000000,0.00026862000000,0.00026427000000,0.00025999000000,0.00025583000000,0.00025156000000,0.00024744000000,0.00024350000000,0.00023943000000,0.00023554000000,0.00023158000000,0.00022780000000,0.00022399000000,0.00022017000000,0.00021640000000,0.00021279000000,0.00020922000000,0.00020599000000,0.00020252000000,0.00019913000000,0.00019584000000,0.00019251000000,0.00018911000000,0.00018583000000,0.00018276000000,0.00017950000000,0.00017629000000,0.00017350000000,0.00017086000000,0.00016833000000,0.00016573000000,0.00016309000000,0.00016044000000,0.00015790000000,0.00015532000000,0.00015269000000,0.00015017000000,0.00014779000000,0.00014533000000,0.00014277000000,0.00014038000000,0.00013799000000,0.00013556000000,0.00013321000000,0.00013097000000,0.00012883000000,0.00012670000000,0.00012443000000,0.00012216000000,0.00012009000000,0.00011798000000,0.00011603000000,0.00011395000000,0.00011187000000,0.00010996000000,0.00010788000000,0.00010587000000,0.00010391000000,0.00010186000000,0.00010010000000,0.00009818000000,0.00009630000000,0.00009450000000,0.00009279000000,0.00009105000000,0.00008917000000,0.00008749000000,0.00008566000000,0.00008421000000,0.00008274000000,0.00008123000000,0.00008123000000,0.00008123000000,0.00008123000000,
29,mort_rate,female,0.00030786000000,0.00030786000000,0.00030417000000,0.00030016000000,0.00029641000000,0.00029257000000,0.00028878000000,0.00028420000000,0.00027964000000,0.00027514000000,0.00027079000000,0.00026630000000,0.00026199000000,0.00025784000000,0.00025357000000,0.00024948000000,0.00024531000000,0.00024134000000,0.00023734000000,0.00023333000000,0.00022935000000,0.00022556000000,0.00022179000000,0.00021840000000,0.00021474000000,0.00021117000000,0.00020771000000,0.00020420000000,0.00020061000000,0.00019716000000,0.00019392000000,0.00019048000000,0.00018710000000,0.00018415000000,0.00018136000000,0.00017870000000,0.00017595000000,0.00017316000000,0.00017036000000,0.00016768000000,0.00016495000000,0.00016217000000,0.00015950000000,0.00015699000000,0.00015439000000,0.00015169000000,0.00014915000000,0.00014663000000,0.00014406000000,0.00014158000000,0.00013920000000,0.00013693000000,0.00013468000000,0.00013228000000,0.00012988000000,0.00012768000000,0.00012545000000,0.00012337000000,0.00012117000000,0.00011897000000,0.00011694000000,0.00011473000000,0.00011261000000,0.00011052000000,0.00010835000000,0.00010648000000,0.00010444000000,0.00010245000000,0.00010054000000,0.00009873000000,0.00009688000000,0.00009489000000,0.00009310000000,0.00009117000000,0.00008963000000,0.00008805000000,0.00008646000000,0.00008646000000,0.00008646000000,0.00008646000000,
